2101,沈阳市,210112,浑南区,2,2,普通本科,212,沈阳建筑大学,公办,21,辽宁,理工类,
5001,重庆市,500106,沙坪坝区,2,2,普通本科,179,重庆师范大学,公办,50,重庆,师范类,
4201,武汉市,420111,洪山区,2,2,普通本科,423,中南民族大学,公办,42,湖北,综合类,
3702,青岛市,370214,城阳区,2,2,普通本科,491,青岛农业大学,公办,37,山东,农林类,
1101,北京市,110108,海淀区,1,2,普通本科,866,北京体育大学,公办,11,北京,体育类,双一流
1407,晋中市,0,,2,2,普通本科,269,山西农业大学,公办,14,山西,农林类,
6101,西安市,610112,未央区,2,2,普通本科,361,西安工业大学,公办,61,陕西,理工类,
3305,湖州市,0,,2,2,普通本科,253,湖州师范学院,公办,33,浙江,综合类,
2306,大庆市,0,,2,2,普通本科,446,东北石油大学,公办,23,黑龙江,理工类,
4406,佛山市,440604,禅城区,2,2,普通本科,306,佛山大学,公办,44,广东,理工类,
3304,嘉兴市,330402,南湖区,2,2,普通本科,244,嘉兴大学,公办,33,浙江,综合类,
3309,舟山市,330902,定海区,2,2,普通本科,248,浙江海洋大学,公办,33,浙江,农林类,
5107,绵阳市,510703,涪城区,2,2,普通本科,263,西南科技大学,公办,51,四川,理工类,
4601,海口市,0,,2,2,普通本科,511,海南师范大学,公办,46,海南,师范类,
1301,石家庄市,0,,2,2,普通本科,607,石家庄铁道大学,公办,13,河北,理工类,
6301,西宁市,0,,2,2,普通本科,370,青海师范大学,公办,63,青海,师范类,
